rank,model,style,strategy,prompt_id,fk_grade,formality_score,unique_word_ratio,sentiment_polarity,compression_ratio,latency_s
56,Mistral small creative,academic,direct_instruction,S02A,19.856,0.5069,0.6065,0.1778,4.0844,4.255
57,Mistral small creative,academic,contrastive,S02C,18.282,0.5069,0.5494,0.2309,6.9978,6.9962
58,Llama 3 8B,technical,contrastive,S07C,15.26,0.5068,0.5767,0.0133,1.9411,8.9382
59,Claude Sonnet 4.6,technical,direct_instruction,S07A,16.59,0.5062,0.6215,-0.0667,2.8168,11.435
60,Llama 3 8B,journalism,role_prompting,S01B,14.294,0.5056,0.6462,0.22,1.7679,3.7686
61,Claude Haiku,technical,contrastive,S07C,19.184,0.5052,0.6436,-0.4,2.0304,4.6444
62,GPT-4o-mini,technical,direct_instruction,S07A,15.286,0.5044,0.5605,-0.3733,2.7807,9.9728
63,Claude Sonnet 4.6,journalism,contrastive,S01C,10.892,0.5042,0.741,0.0,1.184,4.9664
64,GPT-4o,technical,direct_instruction,S07A,15.53,0.5036,0.5784,0.4,2.7519,7.2132
65,GPT-4o,journalism,role_prompting,S01B,14.8,0.5033,0.746,-0.3333,1.1248,2.6646
66,Claude Haiku,technical,role_prompting,S07B,24.428,0.5031,0.7591,-0.2667,1.7344,5.8756
67,Mistral small creative,legal,role_prompting,S03B,16.474,0.5028,0.4636,-0.122,13.5317,15.2824
68,Claude Sonnet 4.6,technical,role_prompting,S07B,15.65,0.5022,0.6994,0.0,1.6974,8.3296
69,GPT-4o,technical,role_prompting,S07B,13.986,0.501,0.6921,0.3333,1.409,4.0752
70,Claude Haiku,journalism,role_prompting,S01B,13.992,0.5007,0.7505,-0.1,1.3199,3.7866
71,Mistral small creative,academic,role_prompting,S02B,14.322,0.5004,0.4365,-0.0372,15.221,17.1024
72,Mistral small creative,technical,contrastive,S07C,12.978,0.4999,0.5559,-0.0462,4.6846,8.483
73,Claude Haiku,journalism,contrastive,S01C,12.174,0.4999,0.7312,-0.1,1.0893,3.1788
74,Llama 3 8B,technical,role_prompting,S07B,15.344,0.4996,0.5901,0.3657,1.8018,5.7412
75,Mistral small creative,medical,contrastive,S09C,17.2,0.4987,0.5952,0.0067,3.8092,4.955
76,Mistral small creative,journalism,direct_instruction,S01A,15.166,0.4985,0.692,0.0333,1.634,2.2902
77,Mistral small creative,medical,direct_instruction,S09A,15.632,0.4984,0.5238,0.0184,8.3984,10.4922
78,Claude Sonnet 4.6,medical,role_prompting,S09B,19.77,0.4976,0.665,0.0,1.8649,8.1438
79,Llama 3 8B,academic,role_prompting,S02B,14.684,0.4973,0.483,0.4222,3.7144,7.2198
80,Mistral small creative,technical,direct_instruction,S07A,13.096,0.4965,0.4756,-0.1086,9.5108,14.6628
81,Claude Sonnet 4.6,technical,contrastive,S07C,13.732,0.4959,0.6583,0.4667,1.964,10.9552
82,Mistral small creative,technical,role_prompting,S07B,11.838,0.4952,0.5136,-0.3371,8.4812,15.8216
83,Claude Sonnet 4.6,medical,direct_instruction,S09A,20.078,0.4952,0.6941,0.6667,2.0311,9.0622
84,Llama 3 8B,technical,direct_instruction,S07A,14.386,0.4949,0.5203,0.1029,2.9152,6.3382
85,Mistral small creative,journalism,contrastive,S01C,12.62,0.4945,0.6682,-0.0733,2.9301,3.6066
86,GPT-4o,executive,contrastive,S04C,14.052,0.4944,0.8549,0.4667,0.6955,2.5272
87,Mistral small creative,medical,role_prompting,S09B,15.206,0.4942,0.5485,-0.2191,7.3803,8.7184
88,Llama 3 8B,journalism,contrastive,S01C,13.69,0.494,0.6672,0.0048,1.6017,3.5352
89,GPT-4o,executive,direct_instruction,S04A,15.378,0.4921,0.8426,0.0667,0.6952,2.3554
90,Claude Sonnet 4.6,executive,role_prompting,S04B,12.604,0.4907,0.8433,-0.8,0.856,5.2146
91,Mistral small creative,minimalist,role_prompting,S10B,6.098,0.4902,0.888,0.0,0.3721,1.6168
92,GPT-4o,storytelling,contrastive,S06C,9.168,0.4894,0.5894,0.08,3.8053,8.9788
93,Claude Sonnet 4.6,journalism,role_prompting,S01B,13.92,0.489,0.7763,-0.52,1.1243,5.3704
94,GPT-4o,executive,role_prompting,S04B,12.79,0.4889,0.8871,0.2,0.5409,2.1588
95,Mistral small creative,executive,contrastive,S04C,11.488,0.488,0.8367,-0.2,0.9548,1.9948
96,Claude Haiku,executive,direct_instruction,S04A,17.596,0.4862,0.8475,0.0,0.8499,3.601
97,Mistral small creative,executive,direct_instruction,S04A,14.33,0.4854,0.8321,-0.3,1.1325,4.3492
98,GPT-4o,journalism,contrastive,S01C,11.93,0.4821,0.786,0.16,0.8799,3.0714
99,Mistral small creative,journalism,role_prompting,S01B,12.964,0.4814,0.6554,0.0333,2.7928,3.8212
100,GPT-4o-mini,storytelling,contrastive,S06C,10.0,0.481,0.5758,-0.5,4.2075,11.7812
101,GPT-4o,storytelling,direct_instruction,S06A,9.338,0.4799,0.5618,0.08,4.1233,12.6006
102,Claude Haiku,minimalist,direct_instruction,S10A,9.646,0.4789,0.8864,0.0,0.5758,3.1336
103,Llama 3 8B,storytelling,contrastive,S06C,7.83,0.4781,0.5278,-0.1333,3.8822,7.8092
104,Llama 3 8B,storytelling,role_prompting,S06B,11.924,0.4781,0.636,0.08,1.9963,4.1336
105,Claude Haiku,executive,contrastive,S04C,15.148,0.478,0.8378,0.0,0.8607,3.4504
106,GPT-4o-mini,executive,direct_instruction,S04A,16.37,0.4756,0.7945,0.6667,0.9012,3.9212
107,Claude Haiku,storytelling,contrastive,S06C,7.562,0.4752,0.6878,-0.2,2.5069,8.6614
108,Claude Sonnet 4.6,storytelling,contrastive,S06C,8.358,0.4731,0.6449,-0.6,2.8763,12.238
109,GPT-4o-mini,storytelling,role_prompting,S06B,12.742,0.4728,0.6485,-0.2,2.3423,7.044
110,GPT-4o-mini,executive,contrastive,S04C,13.75,0.4728,0.8326,0.4,0.768,3.0064
111,Claude Sonnet 4.6,medical,contrastive,S09C,16.054,0.4727,0.6954,-0.1333,1.5691,7.708
112,Claude Sonnet 4.6,minimalist,contrastive,S10C,8.766,0.4723,0.9035,-0.2,0.4363,2.841
113,GPT-4o,minimalist,role_prompting,S10B,7.986,0.4707,0.9086,0.4,0.3917,1.6064
114,Mistral small creative,storytelling,contrastive,S06C,5.386,0.4701,0.5331,0.2,6.0121,5.7178
115,Llama 3 8B,minimalist,role_prompting,S10B,7.27,0.4698,0.9125,-0.2,0.4263,2.2456
116,Llama 3 8B,executive,contrastive,S04C,14.944,0.466,0.7702,-0.0133,1.009,2.446
117,GPT-4o-mini,executive,role_prompting,S04B,13.68,0.4654,0.8446,0.1733,0.7837,4.2284
118,Claude Haiku,minimalist,role_prompting,S10B,9.554,0.4648,0.8961,0.0,0.4606,2.439
119,Claude Haiku,executive,role_prompting,S04B,14.276,0.4643,0.8425,-0.44,0.7913,3.689
120,Mistral small creative,minimalist,direct_instruction,S10A,8.292,0.4628,0.9024,0.0,0.4547,1.7544
121,Claude Haiku,storytelling,direct_instruction,S06A,6.7,0.4626,0.6713,-0.4,2.6997,6.86
122,GPT-4o-mini,minimalist,contrastive,S10C,8.776,0.461,0.8735,0.0,0.5213,2.4946
123,Claude Sonnet 4.6,storytelling,role_prompting,S06B,10.152,0.4586,0.6852,-0.4667,2.6342,11.0666
124,Mistral small creative,storytelling,direct_instruction,S06A,5.256,0.4578,0.5335,0.2,5.7197,5.3184
125,Mistral small creative,executive,role_prompting,S04B,10.144,0.4576,0.7612,-0.5273,1.8335,3.4784
126,Llama 3 8B,minimalist,contrastive,S10C,9.738,0.4576,0.8622,-0.2,0.6113,2.4428
127,Claude Haiku,minimalist,contrastive,S10C,10.044,0.4576,0.8877,-0.2,0.5122,2.0856
128,Claude Sonnet 4.6,minimalist,role_prompting,S10B,7.938,0.4567,0.9317,0.0,0.4124,3.033
129,Claude Sonnet 4.6,minimalist,direct_instruction,S10A,8.782,0.4556,0.9118,-0.2,0.4554,2.8334
130,Llama 3 8B,storytelling,direct_instruction,S06A,7.128,0.4539,0.5313,-0.4,3.7501,9.5184
131,Mistral small creative,minimalist,contrastive,S10C,8.996,0.4535,0.9331,0.0,0.4316,1.5628
132,GPT-4o-mini,minimalist,role_prompting,S10B,8.224,0.4534,0.8618,0.2,0.5227,2.902
133,GPT-4o,storytelling,role_prompting,S06B,11.18,0.453,0.6687,-0.2667,2.0826,6.004
134,Claude Sonnet 4.6,executive,contrastive,S04C,10.758,0.4528,0.8435,0.4,1.0224,5.8112
135,Claude Sonnet 4.6,storytelling,direct_instruction,S06A,6.776,0.4528,0.6035,-0.1,3.6886,15.947
136,GPT-4o-mini,storytelling,direct_instruction,S06A,8.078,0.4516,0.5574,-0.1333,5.0678,15.7966
137,Claude Haiku,storytelling,role_prompting,S06B,11.328,0.4499,0.6672,-0.2,2.5776,7.1798
138,GPT-4o,minimalist,direct_instruction,S10A,8.934,0.4473,0.8694,0.6,0.4877,1.65
139,GPT-4o,minimalist,contrastive,S10C,8.422,0.4426,0.8832,0.2,0.4368,1.6082
140,Llama 3 8B,executive,direct_instruction,S04A,14.874,0.4423,0.7388,-0.1,0.9795,2.7786
141,GPT-4o-mini,minimalist,direct_instruction,S10A,8.98,0.4361,0.8664,0.2,0.5216,3.3406
142,Llama 3 8B,executive,role_prompting,S04B,13.072,0.4361,0.7925,0.0,0.9057,2.5174
143,Llama 3 8B,minimalist,direct_instruction,S10A,8.488,0.4328,0.8908,-0.2,0.5429,1.7994
144,Mistral small creative,storytelling,role_prompting,S06B,7.356,0.4251,0.5594,0.2714,4.7479,4.6438
145,GPT-4o,casual,role_prompting,S05B,5.156,0.3537,0.828,-0.2,0.9362,3.3134
146,GPT-4o,marketing,role_prompting,S08B,10.504,0.3509,0.7229,0.2,1.306,3.3716
147,GPT-4o,casual,contrastive,S05C,5.514,0.3462,0.7774,0.2,1.1108,3.3246
148,Llama 3 8B,casual,contrastive,S05C,7.702,0.3451,0.7745,-0.8,1.3588,3.7358
149,Mistral small creative,marketing,direct_instruction,S08A,6.668,0.3426,0.5138,0.34,5.0481,5.8188
150,Llama 3 8B,marketing,role_prompting,S08B,10.458,0.3399,0.5894,0.28,2.3042,5.8822
151,GPT-4o,casual,direct_instruction,S05A,5.632,0.3337,0.7811,0.0,1.0762,40.6154
152,GPT-4o,marketing,direct_instruction,S08A,9.004,0.3325,0.6454,0.1867,2.1293,5.1696
153,Claude Haiku,marketing,direct_instruction,S08A,9.374,0.331,0.6961,0.8667,1.9947,4.8594
154,GPT-4o,marketing,contrastive,S08C,9.678,0.3289,0.7186,0.0,1.531,6.3834
155,GPT-4o-mini,casual,contrastive,S05C,5.53,0.3284,0.7615,0.0,1.2447,3.9884
156,GPT-4o-mini,casual,direct_instruction,S05A,5.574,0.3268,0.7832,-0.2,1.1796,4.2884
157,Llama 3 8B,marketing,contrastive,S08C,8.506,0.3268,0.5881,0.4486,2.4536,4.7052
158,Claude Sonnet 4.6,marketing,contrastive,S08C,9.278,0.3188,0.6791,0.4,2.0452,8.6064
159,GPT-4o-mini,marketing,contrastive,S08C,9.432,0.3172,0.6804,0.2,1.8542,6.0412
160,Mistral small creative,marketing,contrastive,S08C,6.16,0.3079,0.5594,0.28,3.8576,4.2814
161,Claude Sonnet 4.6,casual,contrastive,S05C,4.44,0.3067,0.771,0.2,1.3085,5.3268
162,GPT-4o-mini,marketing,direct_instruction,S08A,7.948,0.3061,0.6363,0.72,2.2026,6.339
163,Claude Sonnet 4.6,marketing,direct_instruction,S08A,8.522,0.3043,0.6735,0.3533,2.2238,9.1024
164,GPT-4o-mini,casual,role_prompting,S05B,6.12,0.3039,0.7676,-0.0667,1.1464,6.2078
165,Llama 3 8B,marketing,direct_instruction,S08A,8.932,0.3036,0.5665,0.5,2.8035,7.6674
166,Llama 3 8B,casual,role_prompting,S05B,6.348,0.3035,0.7868,-0.6,1.0125,2.8172
167,Mistral small creative,casual,contrastive,S05C,3.74,0.3026,0.6841,0.0,1.861,2.6802
168,Claude Sonnet 4.6,marketing,role_prompting,S08B,5.778,0.2996,0.7254,0.44,1.5806,7.7518
169,Llama 3 8B,casual,direct_instruction,S05A,7.496,0.2943,0.7306,-0.1333,1.4931,4.1276
170,GPT-4o-mini,marketing,role_prompting,S08B,9.294,0.2896,0.6635,0.4667,1.8017,7.3246
171,Mistral small creative,casual,direct_instruction,S05A,4.238,0.2894,0.7355,-0.1,1.5629,2.2226
172,Mistral small creative,marketing,role_prompting,S08B,4.54,0.2789,0.5638,0.29,3.3978,3.741
173,Claude Sonnet 4.6,casual,direct_instruction,S05A,5.702,0.2597,0.7592,0.0,1.5082,6.276
174,Mistral small creative,casual,role_prompting,S05B,6.134,0.2584,0.6645,0.3,2.1383,3.9214
175,Claude Haiku,marketing,contrastive,S08C,7.594,0.2555,0.6918,-0.1,2.029,5.6718
176,Claude Sonnet 4.6,casual,role_prompting,S05B,17.282,0.2352,0.7475,-0.8,1.572,8.0152
177,Claude Haiku,casual,contrastive,S05C,4.876,0.2294,0.7107,0.1333,1.7377,5.0412
178,Claude Haiku,marketing,role_prompting,S08B,6.568,0.2288,0.6718,0.8,1.9518,5.5028
179,Claude Haiku,casual,direct_instruction,S05A,5.59,0.1706,0.7152,0.1667,1.6281,4.8332
180,Claude Haiku,casual,role_prompting,S05B,11.242,0.159,0.7214,-0.2,1.4273,4.2598
